ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi-	-0.109079	-3.64022	42.5476	
pi-	0.180471	-4.09855	42.151	
pi-	0.460008	-4.47531	41.9224	
pi-	0.777445	-4.70995	41.767	
pi-	0.991532	-4.94656	41.6872	
pi-	1.13446	-5.10518	41.5345	
pi-	1.27745	-5.17985	41.4122	
pi-	1.37313	-5.15554	41.3289	
pi-	1.37879	-5.15344	41.3232	
pi-	1.37885	-5.15328	41.3232	
pi-	1.37885	-5.15328	41.3232	
pi+	-3.77704	0.504183	38.3424	
pi+	-6.80239	1.06822	35.7929	
pi+	-8.86722	2.30746	33.6737	
pi+	-10.868	3.34588	32.3814	
pi+	-12.3471	3.93149	31.0451	
pi+	-13.4112	4.32001	29.8652	
pi+	-14.37	4.73693	29.0628	
pi+	-14.9744	5.28329	28.3942	
pi+	-15.4157	5.70791	27.7785	
pi+	-15.813	5.93733	27.2813	
pi+	-16.1302	6.17375	26.9176	
pi+	-16.3551	6.38228	26.6053	
pi+	-16.4089	6.55025	26.3085	
pi+	-16.479	6.66794	26.0728	
pi+	-16.5107	6.75561	25.8908	
pi+	-16.5058	6.76166	25.7875	
pi+	-16.5003	6.75833	25.784	
pi+	-16.5003	6.7583	25.784	
pi+	-16.5003	6.7583	25.784	
mu+	-16.5798	6.75082	25.8844	
mu+	-16.5796	6.76031	25.8934	
mu+	-16.5793	6.76064	25.8931	
mu+	-16.5793	6.76065	25.8931	
mu+	-16.5793	6.76065	25.8931	
pi+	-0.634717	1.31289	46.1465	
pi+	-1.28077	2.0508	48.6405	
pi+	-8.11055	10.8406	72.8222	
pi+	-10.6866	13.7518	78.3189	
pi+	-17.7333	22.5563	94.3817	
pi+	-19.0054	25	97.8274	
pi+	137.864	46.2997	573	
pi+	136.768	40.0246	583	
pi+	136.768	40.0246	583	
pi+	136.768	40.0246	583	
pi+	25	-18.6275	808.969	
pi+	17.9489	-15.2827	821.321	
pi+	16.9155	-14.5824	823.546	
pi+	7.96882	-12.4368	830.501	
pi+	0.517496	-11.7464	835.861	
pi+	-5.83219	-10.6731	839.401	
pi+	-10.7484	-9.55329	842.449	
pi+	-14.5854	-8.17647	844.908	
pi+	-17.2925	-6.72949	847.245	
pi+	-19.2161	-5.35776	849.094	
pi+	-20.8425	-4.28036	850.57	
pi+	-21.9746	-3.1795	851.694	
pi+	-22.9242	-2.20923	852.444	
pi+	-23.5783	-1.25374	852.976	
pi+	-24.1732	-0.467662	853.32	
pi+	-24.6332	0.205776	853.531	
pi+	-24.9434	0.734337	853.832	
pi+	-25	0.896351	853.889	
pi+	-25	16.3033	856.433	
pi+	-24.8852	16.8035	856.518	
pi+	-24.7863	17.2075	856.594	
pi+	-24.7096	17.5057	856.724	
pi+	-24.6476	17.733	856.843	
pi+	-24.6069	17.907	856.928	
pi+	-24.5824	17.9854	856.971	
pi+	-24.5811	17.9869	856.97	
pi+	-24.5811	17.9869	856.97	
pi+	-24.5811	17.9869	856.97	
mu+	-24.4997	17.9286	857.04	
