ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi+	-1.65676	16.0979	33.9631	
pi+	-1.76718	16.5943	35.3041	
pi+	-1.82371	17.1442	36.3252	
pi+	-1.97637	17.6655	37.0496	
pi+	-2.1584	18.096	37.6277	
pi+	-2.30094	18.4234	38.0981	
pi+	-2.31207	18.5556	38.2812	
pi+	-2.16872	18.925	38.4068	
pi+	-2.01946	19.193	38.5113	
pi+	-1.85593	19.3832	38.5382	
pi+	-1.71463	19.5108	38.5669	
pi+	-1.69002	19.5853	38.545	
pi+	-1.68911	19.5864	38.5443	
pi+	-1.68911	19.5864	38.5443	
mu+	-1.75054	19.6123	38.4406	
mu+	-1.76228	19.622	38.4231	
mu+	-1.76268	19.6221	38.4238	
mu+	-1.76268	19.6221	38.4238	
mu+	-1.76268	19.6221	38.4238	
pi0	-3.52421e-05	3.02025e-05	5.20168	
pi0	2.03206e-06	8.21826e-06	5.2015	
