ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi-	-23.8359	6.73277	182.128
pi-	-25	7.18957	182.612
pi-	-176.379	-718.428	615.242
mu-	169.223	-518.786	6416.51
mu-	125.5	-587.362	10645.5
mu-	64.2225	-651.644	13520.9
mu-	104.03	-615.169	15010.8
mu-	73.6484	-640.92	15444.4
mu-	191.324	-458.662	15762.9
mu-	-245.949	-193.636	16214.2
mu-	-56.5599	-126.862	16357.4
mu-	-265.294	-499.395	16361.6
mu-	-300.397	-419.705	16390.6
mu-	89.9455	-300.237	16575.5
mu-	-90.6468	-189.023	16765
mu-	29.6664	-222.432	16843.6
mu-	-43.1738	-529.635	16950.8
mu-	25.1685	-233.321	17091.3
mu-	-152.9	-263.202	17302.3
mu-	-177.968	-302.666	17426.4
mu-	-137.996	-248.846	17525.5
mu-	18.3972	-246.644	17580.3
mu-	14.9733	-441.709	17639.3
mu-	-141.925	-301.578	17731.5
mu-	39.3496	-400.732	17796.5
mu-	-99.2904	-272.076	17867.2
mu-	-54.1668	-435.666	17925.9
mu-	39.6154	-323.038	17974.8
mu-	-72.9357	-293.704	18019
mu-	-94.5585	-402.607	18050.7
mu-	-22.1284	-452.014	18077.1
mu-	38.4318	-410.92	18095.9
mu-	32.0204	-349.506	18103.9
mu-	-10.2019	-325.989	18111.3
mu-	-45.7937	-337.648	18116.3
mu-	-64.4519	-360.943	18119.6
mu-	-67.9087	-384.626	18121.1
mu-	-62.1424	-401.936	18123.1
mu-	-52.7913	-412.928	18125.7
mu-	-42.873	-418.123	18128.1
mu-	-34.0467	-420.015	18130
mu-	-27.1883	-419.565	18131.7
mu-	-21.9982	-418.368	18133.4
mu-	-18.1767	-416.905	18134.8
mu-	-15.2413	-415.559	18135.9
mu-	-13.0079	-414.407	18136.7
mu-	-11.3504	-413.431	18137.3
mu-	-10.0785	-412.443	18137.7
mu-	-9.12334	-411.492	18138
mu-	-8.3368	-410.752	18138.3
mu-	-7.71745	-410.17	18138.5
mu-	-7.25792	-409.654	18138.7
mu-	-6.88455	-409.205	18138.9
mu-	-6.58699	-408.842	18139
mu-	-6.39491	-408.527	18139.1
mu-	-6.25015	-408.284	18139.3
mu-	-6.19209	-408.148	18139.4
mu-	-6.19411	-408.143	18139.4
mu-	-6.18992	-408.141	18139.4
mu-	-6.18992	-408.141	18139.4
pi+	-2.01768	12.2078	199.189
pi+	-2.47247	12.7239	196.821
pi+	-2.41738	13.4178	194.988
pi+	-1.99295	13.6779	193.488
pi+	-1.82954	13.6587	192.24
pi+	-1.82991	13.5058	191.244
pi+	-1.80114	13.394	190.462
pi+	-1.85534	13.3226	189.83
pi+	-1.87783	13.2773	189.316
pi+	-1.9663	13.2029	188.927
pi+	-2.07	13.0925	188.638
pi+	-2.14969	12.9881	188.414
pi+	-2.22548	12.8975	188.249
pi+	-2.29865	12.8301	188.2
pi+	-2.303	12.8259	188.2
pi+	-2.30309	12.8258	188.2
pi+	-2.30309	12.8258	188.2
mu+	-2.35088	12.718	188.166
mu+	-2.3479	12.7086	188.159
mu+	-2.34801	12.7085	188.159
mu+	-2.34801	12.7085	188.159
pi-	-4.41662	12.3576	202.823
pi-	-6.94349	13.0381	203.455
pi-	-8.83321	13.9198	203.986
pi-	-10.305	14.4037	204.568
pi-	-11.5345	14.5198	204.927
pi-	-12.5334	14.5728	205.182
pi-	-13.3519	14.6265	205.328
pi-	-13.9848	14.6302	205.478
pi-	-14.4549	14.5347	205.664
pi-	-14.7887	14.4289	205.885
pi-	-15.0587	14.3137	206.064
pi-	-15.2406	14.1815	206.222
pi-	-15.3409	14.0883	206.386
pi-	-15.3545	14.0169	206.518
pi-	-15.3665	14.0312	206.517
pi-	-15.3668	14.0313	206.517
pi-	-15.3668	14.0313	206.517
pi0	0.40113	0.0584666	57.5243
