ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi+	-3.05112	-3.0853	144.3	
pi+	-5.51773	-5.85693	143.563	
pi+	-7.28192	-8.04011	142.516	
pi+	-9.0069	-9.58471	142.01	
pi+	-10.6517	-10.3504	141.315	
pi+	-11.8712	-10.8826	140.617	
pi+	-12.903	-11.37	140.199	
pi+	-13.8071	-11.6468	139.936	
pi+	-14.5181	-11.8357	139.769	
pi+	-15.0645	-12.0389	139.646	
pi+	-15.4795	-12.1318	139.433	
pi+	-15.8298	-12.2564	139.355	
pi+	-16.1161	-12.377	139.355	
pi+	-16.331	-12.4719	139.287	
pi+	-16.4937	-12.5545	139.297	
pi+	-16.564	-12.5929	139.31	
pi+	-16.565	-12.5906	139.311	
pi+	-16.565	-12.5906	139.311	
pi+	-16.565	-12.5906	139.311	
mu+	-16.5553	-12.7006	139.252	
mu+	-16.5462	-12.7074	139.246	
mu+	-16.546	-12.7076	139.246	
mu+	-16.546	-12.7076	139.246	
pi0	17.2364	3.53666	229.868	
pi0	-0.32	-0.833033	189.622	
pi+	9.96097	-0.803343	195.124	
pi+	10.7349	-0.889267	195.741	
pi+	9.83383	2.55825	192.795	
pi+	9.11844	5.38227	190.887	
pi+	10.7274	6.24005	188.545	
pi+	11.7795	7.7197	186.923	
pi+	12.4439	8.716	185.312	
pi+	13.1557	9.40283	184.039	
pi+	13.9873	9.89764	183.11	
pi+	14.5701	10.6034	182.517	
pi+	15.0778	11.1273	182.036	
pi+	15.4431	11.5116	181.554	
pi+	15.7281	11.7458	181.142	
pi+	15.9286	11.9786	180.831	
pi+	16.0954	12.1617	180.584	
pi+	16.1447	12.3564	180.392	
pi+	16.2543	12.4785	180.258	
pi+	16.325	12.5776	180.168	
pi+	16.3357	12.5938	180.142	
pi+	16.3354	12.5938	180.141	
pi+	16.3354	12.5938	180.141	
mu+	16.3107	12.5014	180.056	
mu+	16.2995	12.498	180.054	
mu+	16.2992	12.4977	180.054	
mu+	16.2992	12.4977	180.054	
mu+	16.2992	12.4977	180.054	
pi-	0.133425	-1.98061	190.294	
pi-	0.467711	-2.84792	190.935	
